"time","cf"
1,1450
2,420
3,850
4,610
5,280
6,370
7,1300
8,340
9,90
10,20
11,4300
12,1700
13,560
14,1050
15,220
16,540
17,1050
18,270
19,370
20,670
21,690
22,280
23,1330
24,560
25,800
26,100
27,310
28,170
29,910
30,770
31,100
32,4300
33,3900
34,1400
35,1000
36,2100
37,2000
38,4300
39,800
40,900
41,3300
42,1700
43,1800
44,970
45,600
46,480
47,800
48,610
49,270
50,300
51,250
52,180
53,160
54,470
55,280
56,430
57,500
58,200
59,400
60,180
61,90
62,30
63,680
64,270
65,1100
66,1050
67,520
68,750
69,520
70,1700
71,630
72,660
73,310
74,140
75,520
76,675
77,300
78,680
79,400
80,1000
81,440
82,920
83,1050
84,880
85,370
86,950
87,760
88,370
89,3040
90,560
91,560
92,130
93,840
94,820
95,250
96,570
97,70
98,450
99,380
100,150
101,20
102,50
103,40
104,890
105,240
106,690
107,1600
108,680
109,230
110,140
111,1800
112,170
113,40
114,1100
115,30
116,1500
117,95
118,80
119,130
120,80
121,2000
122,250
123,60
124,40
125,490
126,25
127,40
128,160
129,410
130,35
131,30
132,80
133,5
134,300
135,180
136,60
137,30
138,90
139,10
140,250
141,55
142,30
143,200
144,320
145,300
146,20
147,250
148,95
149,50
150,65
151,470
152,15
153,170
154,40
155,90
156,70
157,30
158,70
159,190
160,50
161,10
162,10
163,30
164,5
165,720
166,80
167,600
168,490
169,25
170,67
171,80
172,5
173,30
174,440
175,90
176,160
177,130
178,85
179,180
180,310
181,25
182,1390
183,540
184,140
185,30
186,20
187,600
188,190
189,270
190,370
191,370
192,580
193,480
194,170
195,870
196,380
197,370
198,100
199,1300
200,550
201,810
202,290
203,860
204,1100
205,2080
206,1025
207,200
208,870
209,1890
210,1080
211,945
212,2280
213,530
214,800
215,680
216,170
217,195
218,330
219,75
220,460
221,90
222,580
223,685
224,150
225,70
226,90
227,260
228,50
229,70
230,50
231,340
232,140
233,40
234,10
235,40
236,30
237,6000
238,70
239,50
240,37
241,2600
242,1200
243,280
244,35
245,70
246,80
247,20
248,6200
249,250
250,1300
251,100
252,40
253,10
254,55
255,150
256,220
257,55
258,70
259,110
260,70
261,130
262,15
263,40
264,430
265,300
266,540
267,440
268,70
269,36
270,1100
271,970
272,710
273,220
274,70
275,75
276,65
277,55
278,870
279,280
280,760
281,250
282,700
283,50
284,260
285,400
286,450
287,110
288,230
289,130
290,170
291,270
292,1130
293,45
294,830
295,65
296,15
297,130
298,90
299,160
300,340
301,690
302,390
303,600
304,260
305,220
306,220
307,110
308,530
309,1350
310,90
311,7000
312,970
313,75
314,5800
315,230
316,1214
317,550
318,360
319,280
320,320
321,420
322,215
323,1120
324,430
325,2000
326,3100
327,45000
328,1150
329,540
330,220
